id_mascota,id_tratamiento,id_cita
255001,300001,255001
255002,300002,255002
255003,300003,255003
255004,300004,255004
255005,300005,255005
255006,300006,255006
255007,300007,255007
255008,300008,255008
255009,300009,255009
255010,300010,255010
255011,300011,255011
255012,300012,255012
255013,300013,255013
255014,300014,255014
255015,300015,255015
255016,300016,255016
255017,300017,255017
255018,300018,255018
255019,300019,255019
255020,300020,255020
255021,300021,255021
255022,300022,255022
255023,300023,255023
255024,300024,255024
255025,300025,255025
255026,300026,255026
255027,300027,255027
255028,300028,255028
255029,300029,255029
255030,300030,255030
255031,300031,255031
255032,300032,255032
255033,300033,255033
255034,300034,255034
255035,300035,255035
255036,300036,255036
255037,300037,255037
255038,300038,255038
255039,300039,255039
255040,300040,255040
255041,300041,255041
255042,300042,255042
255043,300043,255043
255044,300044,255044
255045,300045,255045
255046,300046,255046
255047,300047,255047
255048,300048,255048
255049,300049,255049
255050,300050,255050
255051,300051,255051
255052,300052,255052
255053,300053,255053
255054,300054,255054
255055,300055,255055
255056,300056,255056
255057,300057,255057
255058,300058,255058
255059,300059,255059
255060,300060,255060
255061,300061,255061
255062,300062,255062
255063,300063,255063
255064,300064,255064
255065,300065,255065
255066,300066,255066
255067,300067,255067
255068,300068,255068
255069,300069,255069
255070,300070,255070
255071,300071,255071
255072,300072,255072
255073,300073,255073
255074,300074,255074
255075,300075,255075
255076,300076,255076
255077,300077,255077
255078,300078,255078
255079,300079,255079
255080,300080,255080
255081,300081,255081
255082,300082,255082
255083,300083,255083
255084,300084,255084
255085,300085,255085
255086,300086,255086
255087,300087,255087
255088,300088,255088
255089,300089,255089
255090,300090,255090
255091,300091,255091
255092,300092,255092
255093,300093,255093
255094,300094,255094
255095,300095,255095
255096,300096,255096
255097,300097,255097
255098,300098,255098
255099,300099,255099
255100,300100,255100
255101,300101,255101
255102,300102,255102
255103,300103,255103
255104,300104,255104
255105,300105,255105
255106,300106,255106
255107,300107,255107
255108,300108,255108
255109,300109,255109
255110,300110,255110
255111,300111,255111
255112,300112,255112
